Name,Family,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. throws,Skills,Weaknesses,Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Features,Source
Animated Armor,Animated Object,Medium,construct,unaligned,18,33,25 ft.,14,11,13,1,3,1,,,,,"poison, psychic, poison","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified",blindsight 60 ft.,,1,"Antimagic, False",Monster Manual
Broom of Animated Attack,Animated Object,Small,construct,unaligned,15,17,fly 50 ft.,10,17,10,1,5,1,,,,,"poison, psychic, poison","blinded, exhaustion, frightened, paralyzed, petrified, prone",blindsight 30 ft.,,4-Jan,"False, ",Curse of Strahd
Flying Sword,Animated Object,Small,construct,unaligned,17,17,fly 50 ft.,12,15,11,1,5,1,Dex,,,"cold, fire",poison,"blinded, charmed, deafened, exhaustion, petrified",blindsight 60 ft.,,4-Jan,"Antimagic, False",Monster Manual
Rug of Smothering,Animated Object,Large,construct,unaligned,12,33,10 ft.,17,14,10,1,3,1,,,,,"poison, psychic, poison","blinded, charmed, deafened, frightened, paralyzed, petrified",blindsight 60 ft.,,2,"Antimagic, Damage Transfer, False",Monster Manual
Animated Table,Animated Object,Large,construct,unaligned,15,39,40 ft.,18,8,13,1,3,1,,,,,"poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned",blindsight 60 ft.,,2,"Antimagic Susceptibility, False Appearance, Charge",Tales from the Yawning Portal
Ankheg,,Large,monstrosity,unaligned,14,39,"30 ft., burrow 10 ft.",17,11,13,1,13,6,,,,,,,"darkvision 60 ft., tremorsense 60 ft.",,2,,Monster Manual
Assassin Vine,,Large,plant,unaligned,13,85,"5 ft., climb 5 ft.",18,10,16,1,10,1,,,,"cold, fire",,"blinded, deafened, exhaustion, prone",blindsight 30 ft.,,3,False Appearance,Tomb of Annihilation
Aurochs,Assorted Beast,Large,beast,unaligned,11,38,50 ft.,20,10,19,2,12,5,,,,,,,,,2,Charge,Volo's Guide to Monsters
Cow,Assorted Beast,Large,beast,unaligned,10,15,30 ft.,18,10,14,2,10,4,,,,,,,,,4-Jan,Charge,Volo's Guide to Monsters
Dolphin,Assorted Beast,Medium,beast,unaligned,12,11,swim 60 ft.,14,13,13,6,12,7,,Perception,,,,,blindsight 60 ft.,,8-Jan,"Charge, Hold Breath",Volo's Guide to Monsters
Swarm of Rot Grubs,Assorted Beast,Medium,beast,unaligned,8,22,"5 ft., climb 5 ft.",2,7,10,1,2,1,,,,"piercing, slashing",,"charmed, paralyzed, petrified, prone, restrained",blindsight 10 ft.,,2-Jan,Swarm,Volo's Guide to Monsters
Astral Dreadnought,,Gargantuan,monstrosity,unaligned,20,297,"15 ft., fly 80 ft.",28,7,25,5,14,18,"Dex, Wis",Perception,,nonmagical,,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned",darkvision 120 ft.,,21,"Antimagic Cone, Astral Entity, Demiplanar Donjon, Legendary, Magic Weapons, Sever Silver Cord",Mordenkainen's Tome of Foes
Atropal,,Huge,undead (titan),neutral evil,7,225,fly 50 ft.,19,5,22,25,19,24,"Con, Wis",,radiant,,"cold, necrotic, nonmagical","exhaustion, frightened, paralyzed, poisoned, prone","darkvision 120 ft., truesight 120 ft.",Celestial,13,"Magic Resistance, Negative Energy Aura, Turn Resistance Aura, Legendary",Tomb of Annihilation
Avatar of Death,,Medium,undead,neutral evil,20,VARIES,"60 ft., fly 60 ft.",16,16,16,16,16,16,,,,,"necrotic, poison","charmed, frightened, paralyzed, petrified, poisoned, unconscious","darkvision 60 ft., truesight 60 ft.",Creator,VARIES,"Incorporeal Movement, Turning Immunity",Dungeon Master's Guide
Awakened Zurkhwood,,Huge,plant,unaligned,13,59,20 ft.,19,6,15,10,10,7,,,fire,"bludgeoning, piercing",,,,Any,2,False Appearance,Out of the Abyss
Azer,,Medium,elemental,lawful neutral,17,39,30 ft.,17,12,15,12,13,10,Con,,,,"fire, poison, poison",,,Ignan,2,"Heated Body, Heated Weapons, Illumination",Monster Manual
Baba Lysaga's Creeping Hut,,Gargantuan,construct,unaligned,16,263,30 ft.,26,7,20,1,3,3,"Con, Wis, Cha",,,,"poison, psychic","blinded, charmed, exhaustion, frightened, paralyzed, petrified, prone",blindsight 120 ft.,,11,"False, Siege",Curse of Strahd
Balhannoth,,Large,aberration,chotic evil,17,114,"25 ft., climb 25 ft.",17,8,18,6,15,8,Con,Perception,,,,blinded,blindsight 500 ft.,"Deep Speech, telepathy 1 mile",11,"Legendary, Lair",Mordenkainen's Tome of Foes
Banderhobb,,Large,monstrosity,neutral evil,15,84,30 ft.,20,12,20,11,14,8,,"Athletics, Stealth",,,,"charmed, frightened, poisoned",darkvision 120 ft.,"Common, Any",5,"Resonant Connection, Shadow Stealth",Volo's Guide to Monsters
Banshee,,Medium,undead,chotic evil,12,58,fly 40 ft.,1,14,10,12,11,17,"Wis, Cha",,,"acid, fire, lightning, thunder, nonmagical","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",darkvision 60 ft.,"Common, Elvish",4,"Detect Life, Incorporeal Movement",Monster Manual
Barghest,,Large,fiend (shapechanger),neutral evil,17,90,60 ft.,19,15,14,13,12,14,,"Deception, Intimidation, Perception, Stealth",,"cold, fire, lightning, nonmagical","acid, poison",poisoned,"blindsight 60 ft., darkvision 60 ft.","Abyssal, Common, Goblin, Infernal, telepathy 60",4,"Shapechanger, Fire Banishment, Keen Smell, Innate Spellcasting",Volo's Guide to Monsters
Basilisk,,Medium,monstrosity,unaligned,15,52,30 ft.,16,8,15,2,8,7,"Str, Con, Wis, Cha","Deception, Insight, Perception",,"cold, nonmagical","fire, poison",poisoned,darkvision 120 ft.,"Infernal, telepathy 120",3,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual
Behir,,Huge,monstrosity,neutral evil,17,168,"50 ft., climb 40 ft.",23,16,18,7,16,12,,"Perception, Stealth",,,lightning,,darkvision 90 ft.,Draconic,11,,Monster Manual
Beholder,,Large,aberration,lawful evil,18,180,30 ft.,10,14,18,17,15,17,"Str, Con, Wis",,,"cold, nonmagical","nonsilvered, fire, poison",poisoned,darkvision 120 ft.,"Infernal, telepathy 120",13,"Devil's Sight,  Magic Resistance, Steadfast",Monster Manual
Death Kiss,Beholder,Large,aberration,neutral evil,16,161,fly 30 ft.,18,14,18,10,12,10,"Con, Wis",Perception,,,lightning,prone,darkvision 120 ft.,"Deep Speech, Undercommon",10,Lightning Blood,Volo's Guide to Monsters
Death Tyrant,Beholder,Large,undead,lawful evil,19,187,"50 ft., climb 40 ft.",10,14,14,19,15,19,,"Perception, Stealth",,,lightning,,darkvision 90 ft.,Draconic,14,,Monster Manual
Gauth,Beholder,Medium,aberration,lawful evil,15,67,fly 20 ft.,10,14,16,15,15,13,"Int, Wis, Cha",Perception,,,,prone,darkvision 120 ft.,"Deep Speech, Undercommon",6,"Stunning Gaze, Death Throes",Volo's Guide to Monsters
Gazer,Beholder,Tiny,aberration,neutral evil,13,13,fly 30 ft.,3,17,14,3,10,7,Wis,"Perception, Stealth",,,,prone,darkvision 60 ft.,,2-Jan,"Aggressive, Mimicry",Volo's Guide to Monsters
Spectator,Beholder,Medium,aberration,lawful neutral,14,39,fly 20 ft.,8,14,14,13,14,11,"Int, Wis, Cha",Perception,,,,prone,darkvision 120 ft.,"Deep Speech, Undercommon",3,"Antimagic Cone, Lair, Legendary",Monster Manual
Berbalang,,Medium,aberration,neutral evil,14,38,"30 ft., fly 40 ft.",9,16,9,17,11,10,,"Arcana, History, Insight, Perception, Religion",,,,,truesight 120 ft.,All,2,"Spectral Duplicate, Innate Spellcasting",Mordenkainen's Tome of Foes
Black Earth Guard,,Medium,humanoid (human),neutral evil,18,39,30 ft.,17,11,14,10,10,9,,"Intimidation, Perception",,,,,,Common,2,,Princes of the Apocalypse
Black Earth Priest,,Medium,humanoid (human),neutral evil,17,45,30 ft.,15,11,14,12,10,16,,"Intimidation, Religion, Persuasion",,,,,,"Common, Terran",3,Normal Spellcasting,Princes of the Apocalypse
Burrowshark,Black Earth,Medium,humanoid (human),neutral evil,18,82,30 ft.,18,12,16,10,11,13,,"Animal Handling, Athletics, Intimidation, Perception",,,,,,Common,4,Bond of the Black Earth,Princes of the Apocalypse
Sacred Stone Monk,Black Earth,Medium,humanoid (human),lawful evil,14,22,40 ft.,13,15,12,10,14,9,,"Acrobatics, Athletics, Perception",,,,,tremorsense 10 ft.,Common,2-Jan,"Unarmored Defense, Unarmored Movement",Princes of the Apocalypse
Stonemelder,Black Earth,Medium,humanoid (human),neutral evil,17,75,30 ft.,15,10,16,12,11,17,,"Intimidation, Perception",,,,,tremorsense 30 ft.,"Common, Terran",4,"Death Burst, Normal Spellcasting",Princes of the Apocalypse
Needle Blight,Blight,Medium,plant,neutral evil,12,11,30 ft.,12,12,13,4,8,3,,,,,,"blinded, deafened",blindsight 60 ft.,Common,4-Jan,,Monster Manual
Tree Blight,Blight,Huge,plant,neutral evil,15,149,30 ft.,23,10,20,6,10,3,,,,,,"blinded, deafened",blindsight 60 ft.,"Common, Druidic",7,"False, Siege",Curse of Strahd
Twig Blight,Blight,Small,plant,neutral evil,13,4,20 ft.,6,13,12,4,8,3,,Stealth,fire,,,"blinded, deafened",blindsight 60 ft.,Common,8-Jan,False Appearance,Monster Manual
Vine Blight,Blight,Medium,plant,neutral evil,12,26,30 ft.,15,8,14,5,10,3,,,,,,"blinded, deafened",blindsight 60 ft.,Common,2-Jan,False Appearance,Monster Manual
Bodak,,Medium,undead,chotic evil,15,58,30 ft.,15,16,15,7,12,12,,"Perception, Stealth",,"cold, fire, necrotic, nonmagical","lightning, poison","charmed, frightened, poisoned",darkvision 120 ft.,"Abyssal, Any",6,"Aura of Annihilation, Death Gazer, Sunlight Hypersensitivity",Volo's Guide to Monsters
Boggle,,Small,fey,chaotic neutral,14,18,"30 ft., climb 30 ft.",8,18,13,6,12,7,,"Perception, Sleight of Hand, Stealth",,fire,,,darkvision 60 ft.,Sylvan,8-Jan,"Boggle Oil, Dimensional Rift, Uncanny Smell",Volo's Guide to Monsters
Boneclaw,,Large,undead,chotic evil,16,127,40 ft.,19,16,15,13,15,9,"Dex, Con, Wis","Perception, Stealth",,"cold, necrotic, nonmagical",,"charmed, exhaustion, frightened, paralyzed, poisoned",darkvision 60 ft.,"Common, Any",12,"Rejuvenation, Shadow Stealth",Mordenkainen's Tome of Foes
Bugbear,,Medium,humanoid,chotic evil,16,27,30 ft.,15,14,13,8,11,9,,"Stealth, Survival",,,,,darkvision 60 ft.,"Common, Goblin",1,"Brute, Surprise Attack",Monster Manual
Bugbear Chief,,Medium,humanoid,chotic evil,17,65,30 ft.,17,14,14,11,12,11,,"Intimidation, Stealth, Survival",,,,,darkvision 60 ft.,"Common, Goblin",3,"Brute, Hearth of Hruggek, Surprise Attack",Monster Manual
Bulette,,Large,monstrosity,unaligned,17,94,"40 ft., burrow 40 ft.",19,11,21,2,10,5,,Perception,,,,,"darkvision 60 ft., tremorsense 60 ft.",,5,Standing Leap,Monster Manual
Bullywug,,Medium,humanoid,neutral evil,15,11,"20 ft., swim 40 ft.",12,12,13,7,10,7,,Stealth,,,,,,Own,4-Jan,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap",Monster Manual
Cadaver Collector,,Large,construct,lawful evil,17,189,30 ft.,21,14,20,5,11,8,,,,,"necrotic, poison, psychic, nonmagical, nonadamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,All,14,"Magic Resistance, Summon Specters",Mordenkainen's Tome of Foes
Cambion,,Medium,fiend,ANY EVIL,19,82,"30 ft., fly 60 ft.",18,18,16,14,12,16,"Str, Con, Int, Cha","Deception, Intimidation, Perception, Stealth",,"cold, fire, lightning, poison, nonmagical",,,darkvision 60 ft.,"Abyssal, Common, Infernal",5,"Fiendish Blessing, Innate Spellcasting",Monster Manual
Carrion Crawler,,Large,monstrosity,unaligned,13,51,"30 ft., climb 30 ft.",14,13,16,1,12,5,,Perception,,,,,darkvision 60 ft.,,2,"Keen Smell, Spider Climb",Monster Manual
Catoblepas,,Large,monstrosity,unaligned,14,84,30 ft.,19,12,21,3,4,8,,,,,,,darkvision 60 ft.,,5,"Keen Smell, Stench",Volo's Guide to Monsters
Cave Fisher,,Medium,monstrosity,unaligned,16,58,"20 ft., climb 20 ft.",16,13,14,3,10,3,,"Perception, Stealth",,,,,blindsight 60 ft.,,3,"Adhesive Filament, Flammable Blood, Spider Climb",Volo's Guide to Monsters
Centaur,,Large,monstrosity,neutral good,12,45,50 ft.,18,14,14,9,13,11,,"Athletics, Perception, Survival",,,,,,"Elvish, Sylvan",2,Charge,Monster Manual
Centaur Mummy,,Large,undead,lawful evil,13,85,30 ft.,20,12,16,5,14,12,Wis,,fire,nonmagical,"necrotic, poison","charmed, exhaustion, frightened, paralyzed, poisoned",darkvision 60 ft.,"Common, Sylvan",6,Charge,Tales from the Yawning Portal
Chimera,,Large,monstrosity,chotic evil,14,114,"30 ft., fly 60 ft.",19,11,19,3,14,10,,Perception,,,,,darkvision 60 ft.,Draconic,6,,Monster Manual
Chitine,,Small,monstrosity,chotic evil,14,18,"30 ft., climb 30 ft.",10,14,12,10,10,7,,"Athletics, Stealth",,,,,darkvision 60 ft.,Undercommon,2-Jan,"Fey Ancestry, Sunlight Sensitivity, Web Sense,  Web Walker",Volo's Guide to Monsters
Choldrith,Chitine,Medium,monstrosity,chotic evil,15,66,"30 ft., climb 30 ft.",12,16,12,11,14,10,,"Athletics, Religion, Stealth",,,,,darkvision 60 ft.,Undercommon,3,"Fey Ancestry, Normal Spellcasting, Spider Climb, Sunlight Sensitivity, Web Sense, Web Walker",Volo's Guide to Monsters
Choker,,Small,aberration,chotic evil,16,13,30 ft.,16,14,13,4,12,7,,Stealth,,,,,darkvision 60 ft.,Deep Speech,1,"Aberrant Quickness, Boneless, Spider Climb",Mordenkainen's Tome of Foes
Chuul,,Large,aberration,chotic evil,16,93,"30 ft., swim 30 ft.",19,10,16,5,11,5,,Perception,,,poison,poisoned,darkvision 60 ft.,Deep Speech,4,"Amphibious, Sense Magic",Monster Manual
Chwinga,,Tiny,elemental,neutral,15,5,"20 ft., climb 20 ft., swim 20 ft.",1,20,10,14,16,16,,"Acrobatics, Perception, Stealth",,,,,blindsight 60 ft.,,0,"Evasion, Innate Spellcasting",Tomb of Annihilation
Cloaker,,Large,aberration,chaotic neutral,14,78,"10 ft., fly 40 ft.",17,15,12,13,12,14,,Stealth,,,,,darkvision 60 ft.,"Deep Speech, Undercommon",8,"Damage Transfer, False Appearance, Light Sensitivity",Monster Manual
Bronze Scout,Clockwork,Medium,construct,unaligned,13,18,"30 ft., burrow 30 ft.",10,16,11,3,14,1,,"Perception, Stealth",,,"poison, nonmagical, nonadamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Creator,1,"Earth Armor, Magic Resistance",Mordenkainen's Tome of Foes
Iron Cobra,Clockwork,Medium,construct,unaligned,13,45,30 ft.,12,16,14,3,10,1,,Stealth,,,"poison, nonmagical, nonadamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Creator,4,Magic Resistance,Mordenkainen's Tome of Foes
Oaken Bolter,Clockwork,Medium,construct,unaligned,16,58,30 ft.,12,18,15,3,10,1,,,,,"poison, nonmagical, nonadamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Creator,5,Magic Resistance,Mordenkainen's Tome of Foes
Stone Defender,Clockwork,Medium,construct,unaligned,16,52,30 ft.,19,10,17,3,10,1,,,,,nonadamantine,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned",darkvision 60 ft.,Creator,4,"False Appearance, Magic Resistance",Mordenkainen's Tome of Foes
Cockatrice,,Small,monstrosity,unaligned,11,27,"20 ft., fly 40 ft.",6,12,12,2,13,5,,,,,,,darkvision 60 ft.,,2-Jan,,Monster Manual
Corpse Flower,,Large,plant,chotic evil,12,127,"20 ft., climb 20 ft.",14,14,16,7,15,3,,,,,,"blinded, deafened",blindsight 120 ft.,,8,"Corpses, Spider Climb, Stench of Death",Mordenkainen's Tome of Foes
Couatl,,Medium,celestial,lawful good,19,97,"30 ft., fly 90 ft.",16,20,17,18,20,18,"Con, Wis, Cha",,,radiant,"psychic, nonmagical",,truesight 120 ft.,"All, telepathy 120",4,"Innate Spellcasting, Magic Weapons, Shielded Mind",Monster Manual
Crag Cat,,Large,beast,unaligned,13,34,40 ft.,16,17,16,4,14,8,,"Perception, Stealth",,,,,darkvision 60 ft.,,1,"Nondetection, Pounce, Spell Turning",Storm King's Thunder
Cranium Rat,,Tiny,beast,lawful evil,12,2,30 ft.,2,14,10,4,11,8,,,,,,,"darkvision 30 ft., tremorsense 60 ft.",Telepathy 30,0,"Illumination, Telepathic Shroud",Volo's Guide to Monsters
Swarm of Cranium Rats,Cranium Rat,Medium,beast,lawful evil,12,36,30 ft.,9,14,10,15,11,14,,,,"bludgeoning, piercing, slashing",,"charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","darkvision 30 ft., tremorsense 60 ft.",Telepathy 30,5,"Illumination, Innate Spellcasting, Swarm, Telepathic Shroud",Volo's Guide to Monsters
Crawling Claw,,Tiny,undead,neutral evil,12,2,"20 ft., climb 20 ft.",13,14,11,5,10,4,,,,,poison,"charmed, exhaustion, poisoned",blindsight 30 ft.,Common,0,Turn Immunity,Monster Manual
Crushing Wave Priest,,Medium,humanoid (human),neutral evil,13,52,30 ft.,15,11,14,10,11,16,,"Deception, Religion, Stealth",,,,,,"Aquan, Common",2,Normal Spellcasting,Princes of the Apocalypse
Crushing Wave Reaver,,Medium,humanoid (human),neutral evil,14,22,30 ft.,15,14,13,10,11,8,,"Athletics, Stealth",,,,,,Common,2-Jan,,Princes of the Apocalypse
Dark Tide Knight,Crushing Wave,Medium,humanoid (human),lawful evil,13,58,30 ft.,17,16,14,10,11,11,,"Athletics, Stealth",,,,,,Common,3,Bonded Mount,Princes of the Apocalypse
Fathomer,Crushing Wave,Medium,humanoid (human),neutral evil,10,52,30 ft.,14,11,14,11,11,15,,"Arcana, Perception, Stealth",,,,,,"Aquan, Common",2,"Shapechanger, Olhydra's Armor, Normal Spellcasting",Princes of the Apocalypse
One-Eyed Shiver,Crushing Wave,Medium,humanoid (human),chotic evil,12,49,30 ft.,10,14,12,13,13,17,,"Arcana, Perception, Intimidation",,,cold,,,Common,3,Chilling Mist,Princes of the Apocalypse
Cyclops,,Huge,giant,chaotic neutral,14,138,30 ft.,22,11,20,8,6,10,,,,,,,,Giant,6,Poor Depth Perception,Monster Manual
Darkling,,Small,fey,chaotic neutral,14,13,30 ft.,9,16,12,10,12,10,,"Acrobatics, Deception, Perception, Stealth",,,,,"blindsight 30 ft., darkvision 120 ft.","Elvish, Sylvan",2-Jan,"Death Flash, Light Sensitivity",Volo's Guide to Monsters
Darkling Elder,,Medium,fey,chaotic neutral,15,27,30 ft.,13,17,12,10,14,13,,"Acrobatics, Deception, Perception, Stealth",,,,,"blindsight 30 ft., darkvision 120 ft.","Elvish, Sylvan",2,Death Burn,Volo's Guide to Monsters
Darkmantle,,Small,monstrosity,unaligned,11,22,"10 ft., fly 30 ft.",16,12,13,2,10,5,,Stealth,,,,,blindsight 60 ft.,,2-Jan,"Echolocation,  False Appearance",Monster Manual
Death Knight,,Medium,undead,chotic evil,20,180,30 ft.,20,11,20,12,16,18,"Dex, Wis, Cha",,,,"necrotic, poison","exhaustion, frightened, poisoned",darkvision 120 ft.,"Abyssal, Common",17,"Magic Resistance, Marshal Undead, Spellcasting",Monster Manual
Deathlock,,Medium,undead,neutral evil,12,36,30 ft.,11,15,10,14,12,16,"Int, Cha","Arcana, History",,"necrotic, nonmagical, nonsilvered",poison,"exhaustion, poisoned",darkvision 60 ft.,Any,4,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes
Deathlock Mastermind,,Medium,undead,neutral evil,13,110,30 ft.,11,16,12,15,12,17,"Int, Cha","Arcana, History, Perception",,"necrotic, nonmagical, nonsilvered",poison,"exhaustion, poisoned",darkvision 120 ft.,Any,8,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes
Deathlock Wight,,Medium,undead,neutral evil,12,37,30 ft.,11,14,16,12,14,16,Wis,"Arcana, Perception",,"necrotic, nonmagical",poison,"exhaustion, poisoned",darkvision 60 ft.,Any,3,"Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Decapus,,Large,monstrosity,unaligned,14,75,"15 ft., climb 30 ft.",15,14,14,4,10,7,,"Athletics, Perception, Stealth",,,,,darkvision 60 ft.,,4,,The Tortle Package
Deep Scion,,Medium,humanoid (shapechanger),neutral evil,11,67,"30 ft., swim 40 ft.",18,13,16,10,12,14,"Wis, Cha","Deception, Insight, Sleight of Hand, Stealth",,,,,darkvision 120 ft.,"Aquan, Common, Thieves' Cant",3,"Shapechanger, Amphibious",Volo's Guide to Monsters
Demilich,,Tiny,undead,neutral evil,20,80,fly 30 ft.,1,20,10,20,17,20,"Con, Int, Wis, Cha",,,magical,"necrotic, poison, psychic, nonmagical","charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned",truesight 120 ft.,,18,"Avoidance, Legendary Resistance, Turn Immunity, Legendary, Lair",Monster Manual
Baphomet,Demon Lord,Huge,fiend (demon),chotic evil,22,275,40 ft.,30,14,26,18,24,16,"Dex, Con, Wis","Intimidation, Perception",,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",23,"Charge, Innate Spellcasting, Labyrinthine Recall, Legendary, Magic Resistance, Magic Weapons, Reckless, Lair",Mordenkainen's Tome of Foes
Demogorgon,Demon Lord,Huge,fiend (demon),chotic evil,22,406,"50 ft., swim 50 ft.",29,14,26,20,17,25,"Dex, Con, Wis, Cha","Insight, Perception",,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",26,"Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Two Heads",Mordenkainen's Tome of Foes
Fraz-Urb'Luu,Demon Lord,Large,fiend (demon),chotic evil,18,337,"40 ft., fly 40 ft.",29,12,25,26,24,26,"Dex, Con, Int, Wis","Deception, Perception, Stealth",,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",23,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Undetectable",Mordenkainen's Tome of Foes
Graz'Zt,Demon Lord,Large,"fiend (demon, shapechager)",chotic evil,20,346,40 ft.,22,15,21,23,21,26,"Dex, Con, Wis","Deception, Insight, Perception, Persuasion",,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",24,"Shapechanger, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
Juiblex,Demon Lord,Huge,fiend (demon),chotic evil,18,350,30 ft.,24,10,23,20,20,16,"Dex, Con, Wis",Perception,,"cold, fire, lightning","poison, nonmagical","blinded, charmed, deafened, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned, unconscious",truesight 120 ft.,"All, telepathy 120",23,"Foul, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Spider Climb",Mordenkainen's Tome of Foes
Orcus,Demon Lord,Huge,fiend (demon),chotic evil,20,405,"40 ft., fly 40 ft.",27,14,25,20,20,25,"Dex, Con, Wis","Arcana, Perception",,"cold, fire, lightning","necrotic, poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",26,"Wand of Orcus, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Master of Undeath",Mordenkainen's Tome of Foes
Yeenoghu,Demon Lord,Huge,fiend (demon),chotic evil,20,333,50 ft.,29,16,23,15,24,15,"Dex, Con, Wis","Intimidation, Perception",,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",24,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Rampage",Mordenkainen's Tome of Foes
Zuggtmoy,Demon Lord,Large,fiend (demon),chotic evil,18,304,30 ft.,22,15,18,20,19,24,"Dex, Con, Wis",Perception,,"cold, fire, lightning","poison, nonmagical","charmed, exhaustion, frightened, poisoned",truesight 120 ft.,"All, telepathy 120",23,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
